jurisdiction,name,event_year,event_quarter,prev_wage,new_wage,increase_abs,increase_pct,fed_floor
VT,Vermont,2022,2022Q1,11.75,12.55,0.8,6.81,7.25
WA,Washington,2022,2022Q1,13.69,14.49,0.8,5.84,7.25
AK,Alaska,2023,2023Q1,10.34,10.85,0.51,4.93,7.25
AZ,Arizona,2023,2023Q1,12.8,13.85,1.05,8.2,7.25
CA,California,2023,2023Q1,14.0,15.5,1.5,10.71,7.25
CO,Colorado,2023,2023Q1,12.56,13.65,1.09,8.68,7.25
DC,District of Columbia,2023,2023Q1,16.1,16.5,0.4,2.48,7.25
DE,Delaware,2023,2023Q1,10.5,11.75,1.25,11.9,7.25
FL,Florida,2023,2023Q1,10.0,11.0,1.0,10.0,7.25
IL,Illinois,2023,2023Q1,12.0,13.0,1.0,8.33,7.25
MA,Massachusetts,2023,2023Q1,14.25,15.0,0.75,5.26,7.25
MD,Maryland,2023,2023Q1,12.5,13.25,0.75,6.0,7.25
ME,Maine,2023,2023Q1,12.75,13.8,1.05,8.24,7.25
MI,Michigan,2023,2023Q1,9.87,10.1,0.23,2.33,7.25
MN,Minnesota,2023,2023Q1,10.33,10.59,0.26,2.52,7.25
MO,Missouri,2023,2023Q1,11.15,12.0,0.85,7.62,7.25
MT,Montana,2023,2023Q1,9.2,9.95,0.75,8.15,7.25
NE,Nebraska,2023,2023Q1,9.0,10.5,1.5,16.67,7.25
NJ,New Jersey,2023,2023Q1,13.0,14.13,1.13,8.69,7.25
NM,New Mexico,2023,2023Q1,11.5,12.0,0.5,4.35,7.25
NY,New York,2023,2023Q1,13.2,14.2,1.0,7.58,7.25
OH,Ohio,2023,2023Q1,9.3,10.1,0.8,8.6,7.25
RI,Rhode Island,2023,2023Q1,12.25,13.0,0.75,6.12,7.25
SD,South Dakota,2023,2023Q1,9.95,10.8,0.85,8.54,7.25
VA,Virginia,2023,2023Q1,11.0,12.0,1.0,9.09,7.25
VT,Vermont,2023,2023Q1,12.55,13.18,0.63,5.02,7.25
WA,Washington,2023,2023Q1,14.49,15.74,1.25,8.63,7.25
AK,Alaska,2024,2024Q1,10.85,11.73,0.88,8.11,7.25
AZ,Arizona,2024,2024Q1,13.85,14.35,0.5,3.61,7.25
CA,California,2024,2024Q1,15.5,16.0,0.5,3.23,7.25
CO,Colorado,2024,2024Q1,13.65,14.42,0.77,5.64,7.25
CT,Connecticut,2024,2024Q1,14.0,15.69,1.69,12.07,7.25
DC,District of Columbia,2024,2024Q1,16.5,17.5,1.0,6.06,7.25
DE,Delaware,2024,2024Q1,11.75,13.25,1.5,12.77,7.25
FL,Florida,2024,2024Q1,11.0,12.0,1.0,9.09,7.25
HI,Hawaii,2024,2024Q1,12.0,14.0,2.0,16.67,7.25
IL,Illinois,2024,2024Q1,13.0,14.0,1.0,7.69,7.25
MD,Maryland,2024,2024Q1,13.25,15.0,1.75,13.21,7.25
ME,Maine,2024,2024Q1,13.8,14.15,0.35,2.54,7.25
MI,Michigan,2024,2024Q1,10.1,10.33,0.23,2.28,7.25
MN,Minnesota,2024,2024Q1,10.59,10.85,0.26,2.46,7.25
MO,Missouri,2024,2024Q1,12.0,12.3,0.3,2.5,7.25
MT,Montana,2024,2024Q1,9.95,10.3,0.35,3.52,7.25
NE,Nebraska,2024,2024Q1,10.5,12.0,1.5,14.29,7.25
NJ,New Jersey,2024,2024Q1,14.13,15.13,1.0,7.08,7.25
NV,Nevada,2024,2024Q1,9.5,12.006,2.506,26.38,7.25
NY,New York,2024,2024Q1,14.2,16.0,1.8,12.68,7.25
OH,Ohio,2024,2024Q1,10.1,10.45,0.35,3.47,7.25
OR,Oregon,2024,2024Q1,13.5,15.95,2.45,18.15,7.25
RI,Rhode Island,2024,2024Q1,13.0,14.0,1.0,7.69,7.25
SD,South Dakota,2024,2024Q1,10.8,11.2,0.4,3.7,7.25
VT,Vermont,2024,2024Q1,13.18,13.67,0.49,3.72,7.25
WA,Washington,2024,2024Q1,15.74,16.28,0.54,3.43,7.25
AK,Alaska,2025,2025Q1,11.73,11.91,0.18,1.53,7.25
AZ,Arizona,2025,2025Q1,14.35,14.7,0.35,2.44,7.25
CA,California,2025,2025Q1,16.0,16.5,0.5,3.12,7.25
CO,Colorado,2025,2025Q1,14.42,14.81,0.39,2.7,7.25
CT,Connecticut,2025,2025Q1,15.69,16.35,0.66,4.21,7.25
DE,Delaware,2025,2025Q1,13.25,15.0,1.75,13.21,7.25
FL,Florida,2025,2025Q1,12.0,13.0,1.0,8.33,7.25
IL,Illinois,2025,2025Q1,14.0,15.0,1.0,7.14,7.25
ME,Maine,2025,2025Q1,14.15,14.65,0.5,3.53,7.25
MI,Michigan,2025,2025Q1,10.33,10.563,0.233,2.26,7.25
MN,Minnesota,2025,2025Q1,10.85,11.13,0.28,2.58,7.25
