model,coef,se,t,p_value,ci_low,ci_high,pct_effect,pct_ci_low,pct_ci_high,n_obs,n_states,n_periods,n_clusters,se_type,r2_within_or_overall
Pooled OLS (no FE),-0.006347260268119104,0.03425847783910353,-0.18527560675431332,0.8530128697771728,-0.0734926429979256,0.06079812246168739,-0.6327158963553292,-7.085701852678373,6.268436042844505,3264,51,64,,HC1,1.0586653527822065e-05
"TWFE DiD (state+period FE, clustered SE)",-0.026782864412088915,0.0140443160134241,-1.9070251898696111,0.05651732561787578,-0.0543092179858993,0.0007434891617214695,-2.642738416262258,-5.286081125589703,0.07437656182982533,3264,51,64,51.0,cluster,0.997381312831352
