cohort,cohort_q,base_period,base_period_q,time,time_q,att,std_error,ci_low,ci_high,signif
5,2011Q1,1,2010Q1,2,2010Q2,-0.0006586394888676978,0.001516792728490161,-0.003631498608720654,0.002314219630985259,
5,2011Q1,2,2010Q2,3,2010Q3,0.0009237846264547647,0.0017961349291038663,-0.0025965751459632166,0.004444144398872746,
5,2011Q1,3,2010Q3,4,2010Q4,-3.3639781453041526e-05,0.0020758799427429025,-0.0041022897054582,0.004035010142552117,
5,2011Q1,4,2010Q4,5,2011Q1,0.001342194561418464,0.0019580765550140586,-0.0024955649653813526,0.00517995408821828,
5,2011Q1,4,2010Q4,6,2011Q2,-0.0021165659328712173,0.0028992797833466344,-0.007799049889335712,0.0035659180235932766,
5,2011Q1,4,2010Q4,7,2011Q3,-0.0023492823028994367,0.0030376388958340064,-0.008302945136772107,0.0036043805309732323,
5,2011Q1,4,2010Q4,8,2011Q4,-0.0028679984808068193,0.004819454170316673,-0.012313955079768867,0.006577958118155227,
5,2011Q1,4,2010Q4,9,2012Q1,-0.006479145828620988,0.004767526409801303,-0.01582332588717509,0.002865034229933113,
5,2011Q1,4,2010Q4,10,2012Q2,-0.008959714451834853,0.006467994926852938,-0.021636751560654394,0.0037173226569846857,
5,2011Q1,4,2010Q4,11,2012Q3,-0.0027731980944997623,0.004680353210881043,-0.011946521822753006,0.006400125633753482,
5,2011Q1,4,2010Q4,12,2012Q4,-0.002639780595674376,0.005956020420073263,-0.014313366110203094,0.009033804918854343,
5,2011Q1,4,2010Q4,13,2013Q1,-0.0016709690165189746,0.006938240676055033,-0.015269670857657677,0.011927732824619727,
5,2011Q1,4,2010Q4,14,2013Q2,0.0010391763810906117,0.006830697106599371,-0.01234874393714611,0.014427096699327333,
5,2011Q1,4,2010Q4,15,2013Q3,0.00010480672864440654,0.008174212600694914,-0.015916355570691113,0.016125969027979928,
5,2011Q1,4,2010Q4,16,2013Q4,0.0015198304962722366,0.007396803448104803,-0.012977637862734863,0.016017298855279336,
5,2011Q1,4,2010Q4,17,2014Q1,0.005463330292226456,0.008279419610205832,-0.010764033956671627,0.02169069454112454,
5,2011Q1,4,2010Q4,18,2014Q2,0.0012885304409156423,0.009851467034602782,-0.018019990141789413,0.0205970510236207,
5,2011Q1,4,2010Q4,19,2014Q3,0.0028822812088112955,0.010549210564181089,-0.017793791562313102,0.023558353979935692,
5,2011Q1,4,2010Q4,20,2014Q4,0.0021485990048804725,0.011596516278910732,-0.02058015524791701,0.024877353257677953,
5,2011Q1,4,2010Q4,21,2015Q1,0.009294627383140863,0.011083527395903401,-0.012428687134492817,0.031017941900774542,
5,2011Q1,4,2010Q4,22,2015Q2,0.010354664901492708,0.011834015618622743,-0.012839579503492357,0.033548909306477775,
5,2011Q1,4,2010Q4,23,2015Q3,0.010955806562277985,0.013377949569100288,-0.015264492780151713,0.037176105904707685,
5,2011Q1,4,2010Q4,24,2015Q4,0.011806601571745857,0.013898025663713185,-0.015433028185345367,0.03904623132883708,
5,2011Q1,4,2010Q4,25,2016Q1,0.01185224633180582,0.01623177827062393,-0.01996145448365692,0.043665947147268555,
5,2011Q1,4,2010Q4,26,2016Q2,0.011842291403024875,0.01767227048593835,-0.022794722274464448,0.0464793050805142,
5,2011Q1,4,2010Q4,27,2016Q3,0.01839714573558087,0.016493326097499313,-0.013929179400792344,0.050723470871954085,
5,2011Q1,4,2010Q4,28,2016Q4,0.019215225313096468,0.01752695596814422,-0.01513697714308556,0.053567427769278496,
5,2011Q1,4,2010Q4,29,2017Q1,0.018942915966492006,0.01805733001035353,-0.016448800510755198,0.054334632443739206,
5,2011Q1,4,2010Q4,30,2017Q2,0.023271513987391048,0.01873562429133534,-0.013449634851499994,0.05999266282628209,
5,2011Q1,4,2010Q4,31,2017Q3,0.022388430495075363,0.01986973183865618,-0.016555528291159582,0.06133238928131031,
5,2011Q1,4,2010Q4,32,2017Q4,0.02316160552539194,0.020224298794113214,-0.016477291723646807,0.0628005027744307,
5,2011Q1,4,2010Q4,33,2018Q1,0.024104741195395032,0.021579851545968073,-0.018190990626423396,0.06640047301721347,
5,2011Q1,4,2010Q4,34,2018Q2,0.020492947641929424,0.024118754330115438,-0.026778942197066315,0.06776483748092516,
5,2011Q1,4,2010Q4,35,2018Q3,0.01972729939207663,0.02367700641952372,-0.026678780451913516,0.06613337923606677,
5,2011Q1,4,2010Q4,36,2018Q4,0.021559685729980578,0.02449159705339215,-0.026442962418535346,0.0695623338784965,
5,2011Q1,4,2010Q4,37,2019Q1,0.01793393286208407,0.024439855580700342,-0.029967303863448848,0.06583516958761698,
5,2011Q1,4,2010Q4,38,2019Q2,0.017995906623323593,0.024790129716923105,-0.03059185479392182,0.066583668040569,
5,2011Q1,4,2010Q4,39,2019Q3,0.014579442934882853,0.027586488844092892,-0.03948908165945521,0.06864796752922091,
5,2011Q1,4,2010Q4,40,2019Q4,0.01454760579792282,0.02777364876235669,-0.03988774549556173,0.06898295709140738,
5,2011Q1,4,2010Q4,41,2020Q1,0.016705329073633455,0.027874135574288413,-0.03792697275215853,0.07133763089942544,
5,2011Q1,4,2010Q4,42,2020Q2,-0.08129474788329837,0.0689081120863314,-0.2163521658151571,0.053762670048560376,
5,2011Q1,4,2010Q4,43,2020Q3,-0.0657439711662573,0.04937786024074864,-0.1625227988717769,0.031034856539262315,
5,2011Q1,4,2010Q4,44,2020Q4,-0.0692724887029526,0.046537443505095505,-0.16048420190550725,0.021939224499602034,
5,2011Q1,4,2010Q4,45,2021Q1,-0.08095069257499064,0.0507605666269048,-0.18043957499856986,0.01853818984858857,
