aggregation,key,att,std_error,ci_low,ci_high,signif,cohort_q,time_q
overall_simple,0,-0.021655198558598765,0.016752336531590677,-0.05448917481741114,0.01117877770021361,,,
overall_event,0,-0.01861911970558923,0.019260679617693267,-0.05636935807403273,0.019131118662854274,,,
event_dynamic,-43,0.010036562853411545,0.001021570161658032,0.008034322128881041,0.012038803577942049,*,,
event_dynamic,-42,0.0010549362519433503,0.0009407980336688207,-0.0007889940107736395,0.0028988665146603403,,,
event_dynamic,-41,-0.0009813154493593323,0.0009621140137414958,-0.0028670242653139385,0.0009043933665952742,,,
event_dynamic,-40,0.0005789641272000211,0.0009404558078780193,-0.0012642953852924172,0.0024222236396924594,,,
event_dynamic,-39,0.0010582578012521273,0.0007442779533858073,-0.0004005001818712362,0.002517015784375491,,,
event_dynamic,-38,-0.0039008102798814724,0.002108868012047639,-0.008034115631643426,0.0002324950718804817,,,
event_dynamic,-37,-0.002474417980238864,0.0025264422227439837,-0.007426153745838392,0.0024773177853606647,,,
event_dynamic,-36,0.003273272746802359,0.0032941067764585153,-0.0031830578962856655,0.009729603389890384,,,
event_dynamic,-35,-0.006855670558822746,0.0007042866558889065,-0.008236047039157156,-0.005475294078488335,*,,
event_dynamic,-34,-0.0015424167391551507,0.0027537824984816602,-0.00693973125743593,0.003854897779125629,,,
event_dynamic,-33,0.000417062948504232,0.0013548523391152328,-0.002238398840531472,0.003072524737539936,,,
event_dynamic,-32,-0.007128854648962346,0.0037808361756007814,-0.014539157384586034,0.00028144808666134054,,,
event_dynamic,-31,-0.002153238754275622,0.0037562963681956043,-0.009515444351197612,0.005208966842646368,,,
event_dynamic,-30,-0.0006828395710425149,0.0011259248828903263,-0.002889611790805033,0.0015239326487200028,,,
event_dynamic,-29,0.005028087625381849,0.004322216308169518,-0.003443300672022082,0.01349947592278578,,,
event_dynamic,-28,-0.007716034514301208,0.0019409669234289081,-0.01152025977940538,-0.003911809249197035,*,,
event_dynamic,-27,-0.00026592750941446515,0.0013544884291917946,-0.0029206760481066134,0.0023888210292776833,,,
event_dynamic,-26,-0.001696805880946262,0.002459968371432063,-0.0065182552920607555,0.0031246435301682312,,,
event_dynamic,-25,-0.0012285606918832294,0.000960727372178984,-0.0031115517403158465,0.0006544303565493876,,,
event_dynamic,-24,0.0017587337322095943,0.0009453371036254444,-9.409294414568551e-05,0.0036115604085648744,,,
event_dynamic,-23,0.003017988806104066,0.001998548330400159,-0.0008990939428429015,0.006935071555051034,,,
event_dynamic,-22,0.007116683167239446,0.0034062916415300497,0.00044047422900072783,0.013792892105478164,*,,
event_dynamic,-21,-0.00039507606924278366,0.001767720523976204,-0.0038597446309684164,0.003069592492482849,,,
event_dynamic,-20,-0.0018877704835973176,0.0012319452977338583,-0.004302338898079154,0.0005267979308845186,,,
event_dynamic,-19,0.003023666479199928,0.0015536009432726863,-2.1335415961992645e-05,0.006068668374361848,,,
event_dynamic,-18,0.0008649819779842115,0.0012778588537431285,-0.0016395753526779568,0.0033695393086463797,,,
event_dynamic,-17,-0.0007411376960068427,0.001991481009985095,-0.004644368751473081,0.0031620933594593953,,,
event_dynamic,-16,-0.0024177072420104254,0.0017191466091935356,-0.00578717268017391,0.00095175819615306,,,
event_dynamic,-15,0.0021710592400828363,0.0023002273921727784,-0.0023373036048282996,0.006679422084993973,,,
event_dynamic,-14,0.0014818729038953578,0.0023295828184915195,-0.0030840255193513304,0.0060477713271420465,,,
event_dynamic,-13,-0.0007165289076660787,0.0011461527051890668,-0.002962946930619804,0.0015298891152876466,,,
event_dynamic,-12,0.0007035564809762726,0.0015621289624025267,-0.0023581600245396036,0.0037652729864921493,,,
event_dynamic,-11,-0.000849182156729472,0.0016898901312220398,-0.004161305951754336,0.002462941638295392,,,
event_dynamic,-10,-0.0011697173817711117,0.0011572102167270394,-0.0034378077290978994,0.0010983729655556758,,,
event_dynamic,-9,-0.003656181014947802,0.0014197517350174231,-0.0064388432825702065,-0.0008735187473253984,*,,
event_dynamic,-8,-0.000557694890088477,0.0012922249659212445,-0.003090409283217615,0.001975019503040661,,,
event_dynamic,-7,-0.001260185459802801,0.0014151169530703445,-0.004033763721732734,0.0015133928021271322,,,
event_dynamic,-6,-1.2166068881203013e-05,0.0012858904448936608,-0.002532465028936965,0.0025081328911745592,,,
event_dynamic,-5,-0.0014932284837247238,0.0014341945895907009,-0.0043041982261447015,0.0013177412586952537,,,
event_dynamic,-4,0.0007058438145391791,0.0012537601008739453,-0.0017514808284270589,0.003163168457505417,,,
event_dynamic,-3,-0.0074209801336962795,0.0062614168347130865,-0.019693131621926714,0.004851171354534154,,,
event_dynamic,-2,0.0019751196198176946,0.0029673462569447095,-0.0038407721734536734,0.0077910114130890626,,,
event_dynamic,-1,0.001164823690711744,0.001281050682145755,-0.0013459895086644041,0.003675636890087892,,,
event_dynamic,0,-0.0012638414715522232,0.001183517500195785,-0.0035834931470088384,0.0010558102039043918,,,
event_dynamic,1,-0.004135396053676248,0.002737174057335571,-0.00950015862547134,0.0012293665181188438,,,
event_dynamic,2,-0.005396588690843318,0.00431218789836507,-0.013848321666208321,0.003055144284521686,,,
event_dynamic,3,-0.0075788833902663425,0.005696231823766628,-0.018743292612439844,0.0035855258319071577,,,
event_dynamic,4,-0.010873232667198205,0.006960592483641459,-0.024515743246195668,0.00276927791179926,,,
event_dynamic,5,-0.0077272868114817385,0.005007672061218218,-0.017542143697856904,0.002087570074893426,,,
event_dynamic,6,-0.003110820866826421,0.004739492356872408,-0.012400055191299199,0.006178413457646356,,,
event_dynamic,7,-0.0032859521270568225,0.005285962892449909,-0.013646249019873817,0.007074344765760171,,,
event_dynamic,8,-0.004084217281779984,0.0061861373720931674,-0.016208823734499847,0.008040389170939879,,,
event_dynamic,9,-0.0026710569810905783,0.0066890027794949064,-0.015781261521388912,0.010439147559207756,,,
event_dynamic,10,-0.0028521713339064057,0.007179208170983478,-0.016923160786549696,0.011218818118736883,,,
event_dynamic,11,-0.0023532734631810295,0.0076542217753384715,-0.01735527247252667,0.012648725546164608,,,
event_dynamic,12,-0.001422837055907379,0.00831412277637608,-0.017718218260648656,0.014872544148833898,,,
event_dynamic,13,-0.0038647686648523773,0.008978706084557213,-0.021462709218355157,0.013733171888650404,,,
event_dynamic,14,-0.003927808577727509,0.00951126952288792,-0.022569554289841295,0.014713937134386276,,,
event_dynamic,15,-0.004874734967362419,0.010006718732822835,-0.024487543287117462,0.014738073352392626,,,
event_dynamic,16,-0.0038037327313884556,0.01064725842985448,-0.024671975787993725,0.01706451032521681,,,
event_dynamic,17,-0.004285843293443749,0.011240976446062596,-0.02631775227878949,0.017746065691901992,,,
event_dynamic,18,-0.004344480771890376,0.011924963330228406,-0.027716979416098873,0.019028017872318122,,,
event_dynamic,19,-0.0045786090546184564,0.012505502348640996,-0.02908894326653587,0.019931725157298956,,,
event_dynamic,20,-0.007987272083996234,0.013701764473052,-0.03484223697582858,0.01886769280783612,,,
event_dynamic,21,-0.04630475020307097,0.03076755445934189,-0.10660804883575581,0.013998548429613872,,,
event_dynamic,22,-0.040846907841645894,0.031508155636278026,-0.10260175810803354,0.020907942424741748,,,
event_dynamic,23,-0.03396255266012583,0.02685229315350128,-0.0865920801432998,0.018666974823048153,,,
event_dynamic,24,-0.03278777145396381,0.02518400358110267,-0.08214751145945279,0.016571968551525165,,,
event_dynamic,25,-0.08806861989161664,0.03526051545131111,-0.15717796025250452,-0.018959279530728776,*,,
event_dynamic,26,-0.061939578232763096,0.027899421345364987,-0.1166214392591865,-0.007257717206339699,*,,
event_dynamic,27,-0.054778902738500085,0.025965786675098797,-0.10567090945194377,-0.003886896025056402,*,,
event_dynamic,28,-0.05727914250460365,0.026836107378546033,-0.10987694645180347,-0.004681338557403825,*,,
