Estimator,Coef_logpts,SE,CI_low,CI_high,pct_effect,pct_CI_low,pct_CI_high,p_value,Staggered_robust,Notes
Pooled OLS (no FE),-0.0063472602681191,0.0342584778391035,-0.0734926429979256,0.0607981224616873,-0.6327158963553292,-7.085701852678373,6.268436042844483,0.8530128697771728,no,Cross-sectional; confounded by which states raise wages.
TWFE DiD (state+period FE),-0.0267828644120889,0.0140443160134241,-0.0543092179858993,0.0007434891617214,-2.642738416262258,-5.286081125589703,0.07437656182980312,0.0565173256178757,no,SE clustered by state (51 clusters). Two-way FE.
Callaway-Sant'Anna (2021),-0.0216551985585987,0.0167523365315906,-0.0544891748174111,0.0111787777002136,-2.1422408148494387,-5.303124008792781,1.1241493713908923,,yes,Group-size-weighted ATT; doubly-robust; never-treated controls.
